Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[9583],INTRAPLATE VOLCANICS,AUSTRALIA / TASMAN OROGEN / VICTORIA / HUME SUPERPROVINCE - SAINT ARNAUD GROUP,"HOLE SD548, MAGDALA BASALT, STAWELL GOLDFIELD, MOORNAMBOOL METAMORPHIC COMPLEX, LACHLAN FAULT BELT",-37,-37.5,142,143,SUBAERIAL,,,s ARC0096 [9583],"BASALT, THOLEIITIC [9583]",,,LOWER [9583],CAMBRIAN [9583],,,,,VOLCANIC ROCK,424.3,424.3,MODERATELY ALTERED,,WHOLE_ROCK [9583] ,222031.625,6538.7994,,85738.662,,81130.4,,,35306.18,38654.864,1084.2412,,913.165,33902.8649,257.48839,,,,,,,,,,,,,900,,,65600,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5,,0.025,0.04,,,,80,87,86,,,13,,,3.2,0,17.9,85,1.5,,,,,,,,,,,,,100,2.05,6.1,,6,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,261077
[9583],INTRAPLATE VOLCANICS,AUSTRALIA / TASMAN OROGEN / VICTORIA / HUME SUPERPROVINCE - SAINT ARNAUD GROUP,"HOLE SD548, MAGDALA BASALT, STAWELL GOLDFIELD, MOORNAMBOOL METAMORPHIC COMPLEX, LACHLAN FAULT BELT",-37,-37.5,142,143,SUBAERIAL,,,s ARC0097 [9583],"BASALT, THOLEIITIC [9583]",,,LOWER [9583],CAMBRIAN [9583],,,,,VOLCANIC ROCK,425.2,425.2,MODERATELY ALTERED,,WHOLE_ROCK [9583] ,223433.93,6107.2746,,80446.152,,66862.64,,,51029.58,33649.632,1084.2412,,830.15,34496.3505,336.04417,,,,,,,,,,,,,600,,,84000,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,0.025,0.037,,,,116,80,82,,,68,,,2.2,10,8.8,85,1,,,,,,,,,,,,,100,2.05,6.3,,6.35,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,261078
[9583],INTRAPLATE VOLCANICS,AUSTRALIA / TASMAN OROGEN / VICTORIA / HUME SUPERPROVINCE - SAINT ARNAUD GROUP,"MAGDALA BASALT, STAWELL GOLDFIELD, MOORNAMBOOL METAMORPHIC COMPLEX, STAWELL, HOLE SD577, LACHLAN FAULT BELT",-37.0583,-37.0583,142.7958,142.7958,SUBAERIAL,,,s ARC0098 [9583],"BASALT, THOLEIITIC [9583]",,,LOWER [9583],CAMBRIAN [9583],,,,,VOLCANIC ROCK,561.4,561.4,MODERATELY ALTERED,,WHOLE_ROCK [9583] ,159862.77,11189.6778,,80446.152,,97916,,,53245.15,51077.488,1548.916,,1162.21,24926.3952,672.08834,,,,,,,,,,,,,35500,,,60300,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,0.043,0.024,,,,76,13,178,,,28200,,,5.2,0,33.9,115,2,,,,,,,,,,,,,170,3.9,11.7,,10.9,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,261079
[9583],INTRAPLATE VOLCANICS,AUSTRALIA / TASMAN OROGEN / VICTORIA / HUME SUPERPROVINCE - SAINT ARNAUD GROUP,"MAGDALA BASALT, STAWELL GOLDFIELD, MOORNAMBOOL METAMORPHIC COMPLEX, STAWELL, HOLE SD592, LACHLAN FAULT BELT",-37.0598,-37.0598,142.7963,142.7963,SUBAERIAL,,,s ARC0099 [9583],"BASALT, THOLEIITIC [9583]",,,LOWER [9583],CAMBRIAN [9583],,,,,VOLCANIC ROCK,273,273,MODERATELY ALTERED,,WHOLE_ROCK [9583] ,228575.715,6257.1096,,83621.658,,62666.24,,,46955.79,32624.464,1006.7954,,996.18,37389.5928,514.97678,,,,,,,,,,,,,2600,,,74700,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,,0.025,0.038,,,,127,91,74,,,75,,,3.6,0,20.9,80,1,,,,,,,,,,,,,160,2.25,7,,6.8,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,261080
[9583],INTRAPLATE VOLCANICS,AUSTRALIA / TASMAN OROGEN / VICTORIA / HUME SUPERPROVINCE - SAINT ARNAUD GROUP,"MAGDALA BASALT, STAWELL GOLDFIELD, MOORNAMBOOL METAMORPHIC COMPLEX, STAWELL, HOLE SD592, LACHLAN FAULT BELT",-37.0598,-37.0598,142.7963,142.7963,SUBAERIAL,,,s ARC0100 [9583],"BASALT, THOLEIITIC [9583]",,,LOWER [9583],CAMBRIAN [9583],,,,,VOLCANIC ROCK,278.7,278.7,MODERATELY ALTERED,,WHOLE_ROCK [9583] ,231380.325,6592.74,,83621.658,,60707.92,,,50958.11,37690,929.3496,,415.075,41173.0635,414.59995,,,,,,,,,,,,,2000,,,55000,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,0.026,0.037,,,,132,113,78,,,12.5,,,0.6,20,22.2,90,1.5,,,,,,,,,,,,,110,2.9,8.6,,7.15,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,261081
[7011][6966][6456][6177][13124][8515][6176],OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / MAUNA KEA TYPE 1 / PACIFIC OCEAN,"HILO DRILL HOLE, HSDP-2 CORE",19.74,19.74,-155.05,-155.05,SUBAERIAL,,,s SR0714-11.55 [7011],"THOLEIITE [7011] / BASALT [6966] / BASALT, THOLEIITIC [13124]",,,,,,,,MODERATELY OLIVINE-PHYRIC [6456] ,VOLCANIC ROCK,1883.7,1883.7,,"HE(CCMSTP/G) from ORTHOPYROXENE [6966], HE3_HE4(R/R(A)) from OLIVINE [6966]",WHOLE_ROCK [7011] / MINERAL / COMPONENT (INCL. GROUNDMASS) [6966] ,232268.4515,13964.622,,67373.6523,,,72988.47,85736.19,77187.6,56444.544,1394.0244,,2158.39,14837.14,1003.7683,,,,,,,,,,,,,,,,1800,,,,,1.08E-09,,,,,,,,,,,,,,,,,,,,,,29,,244,476,,,,245,,109,19,,,,,4.65,281,26,137,12.5,,,,,,,,,,,,,88.4,10.41,27.41,3.94,18.67,4.91,1.69,5.57,0.85,4.87,0.91,2.42,0.31,1.84,0.24,3.7,0.968,,0.000679,0.000152,,,,,,0.838,,0.859,0.287,0.512179,,,0.703524,,18.5842,,15.4951,,38.1807,,,,,0.12958,,,0.283111,,11.8,,,,,26148-SR0714-11.55
[7011][6966][6178][6456][13124][6177][14756][14785][15590],OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / MAUNA KEA TYPE 1 / PACIFIC OCEAN,"HILO DRILL HOLE, HSDP-2 CORE",19.74,19.74,-155.05,-155.05,SUBAERIAL,,,s SR0954-8.00 [7011],"THOLEIITE [7011] / BASALT [6966] / PICRITE [13124] / BASALT, THOLEIITIC [14756]",,,,,,,,HIGHLY OLIVINE-PHYRIC [6456] ,VOLCANIC ROCK,3009.3,3009.3,,"HE(CCMSTP/G) from OLIVINE [6966], HE3_HE4(R/R(A)) from OLIVINE [6966]",WHOLE_ROCK [7011] / MINERAL / COMPONENT (INCL. GROUNDMASS) [6966] ,222826.2645,11806.998,,51019.7964,,,74232.15,86047.11,57247.47,108728.112,1316.5786,,1909.345,12240.6405,872.842,,,,,,,,,,,,,,,,8500,,,,,2.39E-08,,,,,,,,,3.3,,,,,,,,,,,,,,,200,985,,,,836,,105,16,,,,,3.95,214,20.8,116,9.86,,0.001129,,0.002836,,,,,,,,,79.4,8.08,21.54,3.18,15.43,4.14,1.42,4.42,0.72,3.91,0.78,2.04,0.27,1.58,0.22,2.95,0.674,,0.000851,0.000567,0.000352,0.002041,,,,0.656,,0.644,0.212,0.513009,,,0.704556,,18.661,,15.4969,,38.1787,,,0.1198401,,0.1290534,,,0.283158,,13.9,,,,,26148-SR0954-8.00
[7011][6966][6456][6177][13124][8515][6176],OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / MAUNA KEA TYPE 3 / PACIFIC OCEAN,"HILO DRILL HOLE, HSDP-2 CORE",19.74,19.74,-155.05,-155.05,SUBAERIAL,,,s SR0846-2.80 [7011] / s SR0846-2.8 [6966],"THOLEIITE [7011] / BASALT [6966] / BASALT, THOLEIITIC [13124]",,,,,,,,DOMINANTLY OLIVINE-POOR CLASTS [6456] ,VOLCANIC ROCK,2525.5,2525.5,,"HE(CCMSTP/G) from OLIVINE [6966], HE3_HE4(R/R(A)) from OLIVINE [6966]",WHOLE_ROCK [7011] / MINERAL / COMPONENT (INCL. GROUNDMASS) [6966] ,232455.4255,15283.17,,65256.6483,,,69024.24,85736.19,72970.87,60304,1394.0244,,2573.465,14911.3257,1134.6946,,,,,,,,,,,,,,,,4700,,,,,7.10E-09,,,,,,,,,,,,,,,,,,,,,,27.6,,253,573,,,,283,,115,19,,,,,5.2,286,30.5,164,13.5,,,,,,,,,,,,,95.2,11.27,29.92,4.43,21.13,5.75,1.98,6.38,0.94,5.6,1.04,2.73,0.36,2.12,0.29,4.1,1,,0.000467,0.000325,,,,,,0.909,,0.873,0.294,0.512186,,,0.703547,,18.5675,,15.4912,,38.1635,,,,,0.12982,,,0.283124,,12.2,,,,,26150-SR0846-2.80
[4105],CONVERGENT MARGIN,TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER - SITE 834 / PACIFIC OCEAN,HOLE 834A,-18.56763,-18.56763,-177.8622,-177.8622,SUBAQUATIC,-2692.3,-2692.3,"s 135-834A-12X-CC,2-4 [4105]","BASALT, THOLEIITIC [4105]",,,,,,,,,VOLCANIC ROCK,105.85,105.85,,,VOLCANIC GLASS [4105] ,234512.1395,8870.232,,85685.7369,,,,67469.64,85263.71,42212.8,1548.916,,996.18,25223.138,916.4841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26151-135-834A-12X-CC, 2"
[4105],CONVERGENT MARGIN,TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER - SITE 834 / PACIFIC OCEAN,HOLE 834B,-18.56753,-18.56753,-177.8623,-177.8623,SUBAQUATIC,-2699.1,-2699.1,"s 135-834B-10R-1,37-43 [4105]","BASALT, THOLEIITIC [4105]",,,,,,,,,VOLCANIC ROCK,145.77,145.77,,,WHOLE_ROCK [4105] ,234979.5745,6592.74,,90184.3704,,8392.8,56121.06,,83334.02,51258.4,1161.687,,996.18,19659.2105,436.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,90,,,,,,,,1,183,23,84,1,,,,,,,,,,,,,50,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26152-135-834B-10R-1, 37"
[4105],CONVERGENT MARGIN,TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER - SITE 834 / PACIFIC OCEAN,HOLE 834B,-18.56753,-18.56753,-177.8623,-177.8623,SUBAQUATIC,-2699.1,-2699.1,"s 135-834B-15R-2,56-62 [4105]","BASALT, THOLEIITIC [4105]",,,,,,,,,VOLCANIC ROCK,177.36,177.36,,,WHOLE_ROCK [4105] / VOLCANIC GLASS [4105] ,237410.2365,10428.516,,91242.8724,,9861.54,65992.77,78662.76,75543.79,34132.064,1471.4702,,2656.48,25742.4379,1134.6946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,,,,,38,,,,,,,,3,179,43,147,4,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26152-135-834B-15R-2, 56"
[4105][3927],CONVERGENT MARGIN,TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER - SITE 834 / PACIFIC OCEAN,HOLE 834B,-18.56753,-18.56753,-177.8623,-177.8623,SUBAQUATIC,-2699.1,-2699.1,"s 135-834B-33R-1,0-6 [4105] / s 135-834B-33R-1,0-6,7 [3927]","BASALT, THOLEIITIC [4105] / BASALT [3927]",,,,,,,,,VOLCANIC ROCK,281.2,281.2,,,WHOLE_ROCK [4105] / VOLCANIC GLASS [3927] ,222125.112,7252.014,,103944.8964,,7833.28,52312.29,67702.83,89266.03,39860.944,1084.2412,,498.09,28042.1946,829.1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,,,,,84,,,,,,,,0.34,185,30.2,106.6,1.59,,,,,,,,,,,,0.01,4.5,3.43,10.95,1.72,10.33,3.49,1.31,4.52,0.82,5.15,1.07,3.18,0.47,2.73,0.61,2.32,0.11,0.02,,,,,,,0.06,0.41,,0.08,0.04,0.513113,,,,,18.572,,15.467,,38.028,,,,,,,,,,,,,,,"26152-135-834B-33R-1, 0-6, 7G"
[4105][3927],CONVERGENT MARGIN,TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER - SITE 834 / PACIFIC OCEAN,HOLE 834B,-18.56753,-18.56753,-177.8623,-177.8623,SUBAQUATIC,-2699.1,-2699.1,"s 135-834B-35R-2,77-83 [4105] / s 135-834B-35R-2,77-83,8 [3927]","BASALT, THOLEIITIC [4105] / BASALT [3927]",,,,,,,,,VOLCANIC ROCK,292.82,292.82,,,WHOLE_ROCK [4105] / VOLCANIC GLASS [3927] ,233250.065,6592.74,,95318.1051,,8672.56,58064.31,69101.97,89123.09,43841.008,1239.1328,,1162.21,21142.9245,785.5578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,,,,72,,,,,,,,1.19,180,27.9,82.5,0.9,,,,,,,,,,,,0.05,35.1,2.36,7.64,1.29,7.53,2.84,1.01,3.71,0.74,4.33,0.92,2.7,0.42,2.45,0.59,1.8,0.06,0.03,,,,,,,0.02,0.57,,0.07,0.03,0.513119,,,0.702776,,18.79,,15.546,,38.425,,,,,,,,,,,,,,,"26152-135-834B-35R-2, 77-83, 8G"
[4105],CONVERGENT MARGIN,TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER - SITE 834 / PACIFIC OCEAN,HOLE 834B,-18.56753,-18.56753,-177.8623,-177.8623,SUBAQUATIC,-2699.1,-2699.1,"s 135-834B-37R-2,42-44 [4105]","BASALT, THOLEIITIC [4105]",,,,,,,,,VOLCANIC ROCK,311.87,311.87,,,WHOLE_ROCK [4105] ,232689.143,9409.638,,96588.3075,,10351.12,68635.59,,72684.99,30875.648,1394.0244,,2822.51,30267.7656,960.1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,,,,,27,,,,,,,,3,182,37,127,4,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26152-135-834B-37R-2, 42-44"
[4105],CONVERGENT MARGIN,TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER - SITE 834 / PACIFIC OCEAN,HOLE 834B,-18.56753,-18.56753,-177.8623,-177.8623,SUBAQUATIC,-2699.1,-2699.1,"s 135-834B-46R-1,37-40 [4105]","BASALT, THOLEIITIC [4105]",,,,,,,,,VOLCANIC ROCK,358.87,358.87,,,WHOLE_ROCK [4105] / VOLCANIC GLASS [4105] ,230585.6855,6772.542,,88861.2429,,8672.56,57753.39,67702.83,88336.92,44685.264,1239.1328,,913.165,23961.9811,872.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,,,,,74,,,,,,,,2,155,22,70,3,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26152-135-834B-46R-1, 37"
[4105][3927],CONVERGENT MARGIN,TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER - SITE 834 / PACIFIC OCEAN,HOLE 834B,-18.56753,-18.56753,-177.8623,-177.8623,SUBAQUATIC,-2699.1,-2699.1,"s 135-834B-46R-1,37-40,11 [4105]","BASALT, THOLEIITIC [4105] / BASALT [3927]",,,,,,,,,VOLCANIC ROCK,358.87,358.87,,,WHOLE_ROCK [4105] / VOLCANIC GLASS [3927] ,230585.6855,6772.542,,88861.2429,,8672.56,57753.39,69101.97,88336.92,44685.264,1239.1328,,913.165,23961.9811,872.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,,,,,74,,,,,,,,1.52,168,24.6,70.1,0.78,,,,,,,,,,,,0.04,29.5,2.45,7.65,1.29,7.91,2.57,1.08,3.58,0.52,3.83,0.83,2.51,0.36,2.16,0.45,1.71,0.09,0.04,,,,,,,0.04,0.6,,0.13,0.05,0.513109,,,0.702808,,18.68,,15.514,,38.245,,,,,,,,,,,,,,,"26152-135-834B-46R-1, 37-40, 11G"
[4105],CONVERGENT MARGIN,TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER - SITE 834 / PACIFIC OCEAN,HOLE 834B,-18.56753,-18.56753,-177.8623,-177.8623,SUBAQUATIC,-2699.1,-2699.1,"s 135-834B-47R-1,130 [4105]","BASALT, THOLEIITIC [4105]",,,,,,,,,VOLCANIC ROCK,374.1,374.1,,,WHOLE_ROCK [4105] ,247647.063,10248.714,,87591.0405,,9931.48,66148.23,,58033.64,24543.728,1394.0244,,5229.945,32567.5223,1134.6946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,,,,,21,,,,,,,,13,148,50,160,5,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26152-135-834B-47R-1, 130"
[4105][10898][3321],CONVERGENT MARGIN,TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER - SITE 834 / PACIFIC OCEAN,HOLE 834B,-18.56753,-18.56753,-177.8623,-177.8623,SUBAQUATIC,-2699.1,-2699.1,"s 135-834B-47R-1,130-135 [4105] / s 135-834B-47R-1,130-135, 12 [10898] / s 135-834B-47R-1,130-135,12 [3321]","BASALT, THOLEIITIC [4105] / NOT GIVEN [10898] / BASALT [3321]",,,,,,,,,VOLCANIC ROCK,364.8,364.8,,,WHOLE_ROCK [4105] / VOLCANIC GLASS [4105] ,247647.063,10248.714,,87591.0405,,9931.48,66148.23,96307.47,58033.64,24543.728,1394.0244,,5229.945,32567.5223,1134.6946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,,,,,21,,,,,,,,13,148,50,160,5,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51318,,,0.702898,,18.731,,15.516,,38.293,,,,,,,,,,,,,,,"26152-135-834B-47R-1, 130-135, 12"
[4105],CONVERGENT MARGIN,TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER - SITE 834 / PACIFIC OCEAN,HOLE 834B,-18.56753,-18.56753,-177.8623,-177.8623,SUBAQUATIC,-2699.1,-2699.1,"s 135-834B-47R-1,27-37 [4105]","BASALT, THOLEIITIC [4105]",,,,,,,,,VOLCANIC ROCK,363.77,363.77,,,WHOLE_ROCK [4105] ,240775.7685,12526.206,,81028.3281,,12379.38,82316.07,,59820.39,22794.912,1548.916,,4399.795,28487.3088,872.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,10,,,,,,,,10,196,41,146,2,,,,,,,,,,,,,70,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26152-135-834B-47R-1, 27"
[4105][3927],CONVERGENT MARGIN,TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER - SITE 834 / PACIFIC OCEAN,HOLE 834B,-18.56753,-18.56753,-177.8623,-177.8623,SUBAQUATIC,-2699.1,-2699.1,"s 135-834B-54R-1,5-10 [4105] / s 135-834B-54R-1,5-10,12 [3927]","BASALT, THOLEIITIC [4105] / BASALT [3927]",,,,,,,,,VOLCANIC ROCK,387.9,387.9,,,WHOLE_ROCK [4105] / VOLCANIC GLASS [3927] ,230118.2505,11986.8,,99552.1131,,12169.56,81305.58,100815.81,58033.64,23397.952,1626.3618,,4814.87,29377.5372,960.1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,,,,,12,,,,,,,,6,187,45,139,3,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26152-135-834B-54R-1, 5-10, 12G"
[4105],CONVERGENT MARGIN,TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER - SITE 834 / PACIFIC OCEAN,HOLE 834B,-18.56753,-18.56753,-177.8623,-177.8623,SUBAQUATIC,-2699.1,-2699.1,"s 135-834B-56R-1,7-15 [4105]","BASALT, THOLEIITIC [4105]",,,,,,,,,VOLCANIC ROCK,406.97,406.97,,,WHOLE_ROCK [4105] ,244001.07,12646.074,,83145.3321,,12589.2,83870.67,,61321.26,20503.36,1548.916,,6060.095,28709.8659,916.4841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,12,,,,,,,,13,195,40,146,1,,,,,,,,,,,,,60,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26152-135-834B-56R-1, 7"
[4105][10898][3321],CONVERGENT MARGIN,TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER - SITE 834 / PACIFIC OCEAN,HOLE 834B,-18.56753,-18.56753,-177.8623,-177.8623,SUBAQUATIC,-2699.1,-2699.1,"s 135-834B-59R-2,52-55 [4105] / s 135-834B-59R-2,52-55, 13 [10898] / s 135-834B-59R-2,52-55,13 [3321]","BASALT, THOLEIITIC [4105] / NOT GIVEN [10898] / BASALT [3321]",,,,,,,,,VOLCANIC ROCK,432.95,432.95,,,WHOLE_ROCK [4105] / VOLCANIC GLASS [4105] ,212869.899,6233.136,,135117.7803,,7833.28,52079.1,71200.68,78974.35,40825.808,1084.2412,,1328.24,18917.3535,741.9157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,,,,,65,,,,,,,,2,148,26,80,4,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.513117,,,0.702841,,18.7,,15.512,,38.27,,,,,,,,,,,,,,,"26152-135-834B-59R-2, 52-55, 13"
[4105][3927],CONVERGENT MARGIN,TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER - SITE 834 / PACIFIC OCEAN,HOLE 834B,-18.56753,-18.56753,-177.8623,-177.8623,SUBAQUATIC,-2699.1,-2699.1,"s 135-834B-51R-1,10-15 [4105] / s 135-834B-51R-1,10-15,12 [3927]","BASALT, THOLEIITIC [4105] / BASALT [3927]",,,,,,,,,VOLCANIC ROCK,401.6,401.6,,,WHOLE_ROCK [4105] / VOLCANIC GLASS [3927] ,227313.6405,11447.394,,107861.3538,,11679.98,77574.54,99416.67,56032.48,22674.304,1548.916,,4897.885,29674.28,960.1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,,,,,10,,,,,,,,10,181,41,138,3,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26152-26152-135-834B-50R-1, 87-92, 12G"
[3056][4105],CONVERGENT MARGIN,TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER - SITE 834 / PACIFIC OCEAN,HOLE 834B,-18.56753,-18.56753,-177.8623,-177.8623,SUBAQUATIC,-2699.1,-2699.1,"s 135-834B-13R-1,130-131 [3056] / s 135-834B-13R-1,130 [4105]","BASALT [3056] / BASALT, THOLEIITIC [4105]",,,,,,,,,VOLCANIC ROCK,162.3,162.3,,,WHOLE_ROCK [3056] ,233577.2695,7072.212,,84203.8341,,8113.04,53789.16,,79974.93,53188.128,1084.2412,,1079.195,28932.423,916.4841,,,,,,,,,,,,,,,,49000,,,,,,,,,,,,,,7.3,0.21,,,,,2,,,,,,,30,,210,202,,6.02,35,96,68,71,17.3,,,,,1,176,21.9,87,1.2,,,,,,,,,,,,,37,2.6,8.1,,,2.6,1.03,,0.64,,,,,2.06,0.32,1.82,0,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26152-834B-13R-1, 130"
[4105],CONVERGENT MARGIN,TONGA ARC / LAU BASIN / CENTRAL LAU SPREADING CENTER - SITE 834 / PACIFIC OCEAN,HOLE 834B,-18.56753,-18.56753,-177.8623,-177.8623,SUBAQUATIC,-2699.1,-2699.1,"s 135-834B-26R-1,53 [4105]","BASALT, THOLEIITIC [4105]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4105] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,,,,,,,31.1,,,294,,5.64,35.4,,,77,,,,,,,167,,,,,,,,,,,,,,,,,2.82,9.5,,,2.83,1.1,,0.57,,,,,2.3,0.41,2.22,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26152-834B-26R-1, 53"
